match_id,event_id,index,period,minute,second,type,team,player,position,play_pattern,x,y,pass_recipient,pass_length,pass_angle,pass_height,pass_end_location,pass_body_part,pass_type,carry_end_location,pass_outcome,ball_receipt_outcome,dribble_outcome,duel_type,duel_outcome,interception_outcome,pass_aerial_won,pass_switch,pass_cross,shot_statsbomb_xg,shot_end_location,shot_first_time,shot_technique,shot_body_part,shot_type,shot_outcome,shot_freeze_frame,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,clearance_right_foot,clearance_body_part,clearance_left_foot,pass_inswinging,pass_technique,pass_deflected,block_deflection,pass_outswinging,shot_aerial_won,pass_through_ball,block_save_block,clearance_head,shot_one_on_one,clearance_aerial_won,pass_cut_back,pass_goal_assist,dribble_nutmeg
3895302,794ec549-5288-4d1a-93e8-0fc6d3968784,1,1,0,0,Starting XI,Bayer Leverkusen,,,Regular Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,3a9a2c57-b177-47ed-9447-11f081b0e388,2,1,0,0,Starting XI,Werder Bremen,,,Regular Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,1f956a2b-ece0-475b-8802-e82ed922c307,3,1,0,0,Half Start,Bayer Leverkusen,,,Regular Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,79b90fbb-2cfd-419b-90f4-f0e5980c47d3,4,1,0,0,Half Start,Werder Bremen,,,Regular Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,221b0c8d-6386-4ae8-bb4a-a1dc98742312,5,1,0,3,Pass,Werder Bremen,Nick Woltemade,Right Center Forward,From Kick Off,61.0,40.1,Marvin Ducksch,2.1540658,2.7610862,Ground Pass,"[59.0, 40.9]",Right Foot,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,76f95d8a-7d26-4262-a142-5be7b0cd022d,6,1,0,3,Ball Receipt*,Werder Bremen,Marvin Ducksch,Left Center Forward,From Kick Off,59.0,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,77809242-1460-4395-8779-94a0cfc275b1,7,1,0,3,Carry,Werder Bremen,Marvin Ducksch,Left Center Forward,From Kick Off,59.0,40.9,,,,,,,,"[59.0, 40.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,ff56e821-21e9-4cef-ba2a-7eb5eb3769c6,8,1,0,4,Pass,Werder Bremen,Marvin Ducksch,Left Center Forward,From Kick Off,59.0,40.6,Christian Groß,24.041006,3.0332322,Ground Pass,"[35.1, 43.2]",Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,ae74c490-d721-45ca-936f-3975b25d1c94,9,1,0,6,Ball Receipt*,Werder Bremen,Christian Groß,Center Back,From Kick Off,35.1,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,cf9088bc-7e59-4d57-8ac5-31658da858bb,10,1,0,6,Carry,Werder Bremen,Christian Groß,Center Back,From Kick Off,35.1,43.2,,,,,,,,"[35.1, 43.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,4464cb75-f45f-4508-8444-2560d1625d06,11,1,0,7,Pass,Werder Bremen,Christian Groß,Center Back,From Kick Off,35.1,43.7,Julián Malatini,20.189602,1.6650436,Ground Pass,"[33.2, 63.8]",Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,4f4800c3-368a-457f-8a4e-46c9946e3aae,12,1,0,9,Ball Receipt*,Werder Bremen,Julián Malatini,Right Center Back,From Kick Off,33.2,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,e9648006-8cd2-43f2-8615-c4cd3f583f05,13,1,0,9,Carry,Werder Bremen,Julián Malatini,Right Center Back,From Kick Off,33.2,63.8,,,,,,,,"[32.7, 65.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,cfa1f5e1-4e8e-4fc2-bbc8-4df5fdef8283,14,1,0,9,Pressure,Bayer Leverkusen,Amine Adli,Left Attacking Midfield,From Kick Off,85.5,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,b88bbf46-30c8-4c60-b8cc-6d855f94f990,15,1,0,10,Pass,Werder Bremen,Julián Malatini,Right Center Back,From Kick Off,32.7,65.3,Mitchell Weiser,17.189823,0.81419677,Ground Pass,"[44.5, 77.8]",Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895302,696b974a-7b21-415e-9089-0fb05ba1d301,16,1,0,11,Ball Receipt*,Werder Bremen,Mitchell Weiser,Right Wing Back,From Kick Off,44.5,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
